ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,1816514,Age specific fertility rate: 15-19,153,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360001,1360010,Region,Barishal,0,,0,1,FEFRTRWA15,BDDHS1994360001,1993-94,DHS,,,,,1
BGD,Chattogram/Sylhet,1803475,Age specific fertility rate: 15-19,106,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,FEFRTRWA15,BDDHS1994360002,1993-94,DHS,,,,,1
BGD,Chattogram,1810076,Age specific fertility rate: 15-19,106,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360003,1360030,Region,..Chattogram,0,,0,1,FEFRTRWA15,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1810056,Age specific fertility rate: 15-19,145,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,FEFRTRWA15,BDDHS1994360005,1993-94,DHS,,,,,1
BGD,Khulna,1810117,Age specific fertility rate: 15-19,156,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360006,1360060,Region,Khulna,0,,0,1,FEFRTRWA15,BDDHS1994360006,1993-94,DHS,,,,,1
BGD,Rajshahi/Rangpur,6399869,Age specific fertility rate: 15-19,162,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_A15,11763010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,FEFRTRWA15,BDDHS1994360007,1993-94,DHS,,,,,1
BGD,Barishal,7234047,Married women currently using any method of contraception,48,1,BD,Bangladesh,1994,BD1994DHS,FP_CUSM_W_ANY,32633010,I,360001,1360010,Region,Barishal,0,,0,1,FPCUSMWANY,BDDHS1994360001,1993-94,DHS,561,931,,,1
BGD,Chattogram/Sylhet,803033,Married women currently using any method of contraception,29.5,1,BD,Bangladesh,1994,BD1994DHS,FP_CUSM_W_ANY,32633010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,FPCUSMWANY,BDDHS1994360002,1993-94,DHS,2313,1833,,,1
BGD,Chattogram,1558529,Married women currently using any method of contraception,29.5,1,BD,Bangladesh,1994,BD1994DHS,FP_CUSM_W_ANY,32633010,I,360003,1360030,Region,..Chattogram,0,,0,1,FPCUSMWANY,BDDHS1994360003,1993-94,DHS,2313,1833,,,
BGD,Dhaka before 2015,3644518,Married women currently using any method of contraception,44.7,1,BD,Bangladesh,1994,BD1994DHS,FP_CUSM_W_ANY,32633010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,FPCUSMWANY,BDDHS1994360005,1993-94,DHS,2701,2531,,,1
BGD,Khulna,6759241,Married women currently using any method of contraception,55.7,1,BD,Bangladesh,1994,BD1994DHS,FP_CUSM_W_ANY,32633010,I,360006,1360060,Region,Khulna,0,,0,1,FPCUSMWANY,BDDHS1994360006,1993-94,DHS,1132,1167,,,1
